기관,발행일,제목,원문,링크,수집일
IMF,2026-01-31,"핀란드의 노동 시장에 인공 지능이 미치는 영향, 핀란드;IMF 선정 이슈 보고서 No. 2026/003","The Impact of Artificial Intelligence on Finland’s Labor Market, Finland; IMF Selected Issues Paper No. 2026/003",https://www.imf.org/-/media/files/publications/selected-issues-papers/2026/english/sipea2026003.pdf,2026-02-02
UN,2026-01-31,작업자가 기계와 경쟁하고 AI 시대에 관련성을 유지할 수 있습니까?,Can workers compete with machines and stay relevant in the AI era?,https://news.un.org/en/story/2026/01/1166847,2026-02-02
IMF,2026-01-29,인공 지능이 핀란드 노동 시장에 미치는 영향: 핀란드,The Impact of Artificial Intelligence on Finland’s Labor Market: Finland,https://www.imf.org/en/publications/selected-issues-papers/issues/2026/01/30/the-impact-of-artificial-intelligence-on-finlands-labor-market-finland-573607,2026-02-02
EU,2026-01-29,AI 얼라이언스 적용,Apply AI Alliance,https://futurium.ec.europa.eu/en/apply-ai-alliance/news/how-generative-ai-impacting-our-economy-society-and-policy,2026-02-02
OECD,2026-01-28,기업의 AI 채택이 지속적으로 확대되면서 개인의 AI 사용이 OECD 전역에서 급증,AI use by individuals surges across the OECD as adoption by firms continues to expand,https://www.oecd.org/en/about/news/announcements/2026/01/ai-use-by-individuals-surges-across-the-oecd-as-adoption-by-firms-continues-to-expand.html,2026-02-02
EU,2026-01-28,법무 MEP는 생성 AI가 사용하는 저작물을 보호한다고 말합니다.,"Protect copyrighted work used by generative AI, say Legal Affairs MEPs",https://www.europarl.europa.eu/news/en/press-room/20260126IPR32636/protect-copyrighted-work-used-by-generative-ai-say-legal-affairs-meps,2026-02-02
EU,2026-01-28,AI 얼라이언스 적용,Apply AI Alliance,https://futurium.ec.europa.eu/en/apply-ai-alliance/news/agentic-ai-leveraging-european-ai-talent-and-regulatory-assets-scale-adoption,2026-02-02
UN,2026-01-27,“교육계 AI 둘러싼 신화 해체해야”,‘We need to dismantle the myths’ surrounding AI in education,https://news.un.org/en/audio/2026/01/1166841,2026-02-02
OECD,2026-01-26,인공지능과 지역부채,Artificial intelligence and local debt,https://www.oecd.org/en/publications/artificial-intelligence-and-local-debt_1eaf265d-en.html,2026-02-02
UN,2026-01-26,"딥페이크부터 그루밍까지: UN, 어린이에 대한 AI 위협 확대 경고",From deepfakes to grooming: UN warns of escalating AI threats to children,https://news.un.org/en/story/2026/01/1166827,2026-02-02
WorldBank,2026-01-26,"윌리엄 장 |사이버 보안 책임자, 디지털 및 AI VPU, WBG","William Zhang | Cybersecurity Lead, Digital and AI VPU, WBG",https://blogs.worldbank.org/en/team/z/zhijun-william-zhang,2026-02-02
OECD,2026-01-22,교육용 안전한 AI 시스템 설계,Designing safe AI systems for education,https://www.oecd.org/en/blogs/2026/01/designing-safe-ai-systems-for-education.html,2026-02-02
WorldBank,2026-01-20,이벤트 |모두를 위한 AI 만들기: 당신이 묻고 우리는 대답합니다,"Event | Making AI Work for All: You Ask, We Answer",https://live.worldbank.org/en/event/2026/ask-experts-making-ai-work-for-all,2026-02-02
IMF,2026-01-15,미래를 위한 기술 격차 해소: AI 시대의 새로운 일자리 창출(SDN/2026/001),Bridging Skill Gaps for the Future: New Jobs Creation in the AI Age (SDN/2026/001),https://www.imf.org/-/media/files/publications/sdn/2026/english/sdnea2026001.pdf,2026-02-02
WorldBank,2026-01-15,AI가 이동하는 방식: 신흥 시장 기업 간의 AI 확산 현황,How AI travels: A snapshot of AI diffusion among firms in emerging markets,https://blogs.worldbank.org/en/psd/how-ai-travels--diffusion-among-firms-in-emerging-markets,2026-02-02
