기관,발행일,제목,원문,링크,수집일
McKinsey,2026-01-29,'다른 사람의 방해를 받기보다는 기꺼이 '실행'해야 합니다.': IBM CEO Arvind Krishna와의 대화,"‘You’ve got to be willing to “do,” as opposed to getting disrupted by somebody else’: A conversation with IBM CEO Arvind Krishna",https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/youve-got-to-be-willing-to-do-as-opposed-to-getting-disrupted-by-somebody-else-a-conversation-with-ibm-ceo-arvind-krishna,2026-01-30
McKinsey,2026-01-29,약국의 부활: 비용 기반 급여의 증가,The revival of pharmacy: The rise of cost-based reimbursement,https://www.mckinsey.com/industries/healthcare/our-insights/the-revival-of-pharmacy-the-rise-of-cost-based-reimbursement,2026-01-30
McKinsey,2026-01-29,AI 확장을 위한 신뢰 구축: Stack Overflow CEO와의 인터뷰,Building trust to scale AI: Interview with the CEO of Stack Overflow,https://www.mckinsey.com/capabilities/mckinsey-technology/our-insights/building-trust-to-scale-ai-interview-with-the-ceo-of-stack-overflow,2026-01-30
McKinsey,2026-01-29,똑똑한 사람들이 어떻게 잘못된 직업을 선택하게 되는지,How smart people end up in the wrong careers,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/how-smart-people-end-up-in-the-wrong-careers,2026-01-30
McKinsey,2026-01-29,2035년 미국 자산관리: 변혁의 10년이 시작됩니다,US wealth management in 2035: A transformative decade begins,https://www.mckinsey.com/industries/financial-services/our-insights/us-wealth-management-in-2035-a-transformative-decade-begins,2026-01-30
MIT_Sloan,2026-01-29,﻿제너레이티브 AI를 가격 책정에 사용하는 방법,﻿How to Use Generative AI for Pricing,https://sloanreview.mit.edu/article/how-to-use-generative-ai-for-pricing/,2026-01-30
McKinsey,2026-01-28,저자 강연: 리더십 철학을 확립하는 방법,Author Talks: How to anchor your leadership philosophy,https://www.mckinsey.com/featured-insights/mckinsey-on-books/author-talks-how-to-anchor-your-leadership-philosophy,2026-01-30
McKinsey,2026-01-28,에이전트 상거래의 자동화 곡선,The automation curve in agentic commerce,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-automation-curve-in-agentic-commerce,2026-01-30
McKinsey,2026-01-28,특별 에피소드: 2026년 다보스 하이라이트,Special episode: Davos highlights 2026,https://www.mckinsey.com/featured-insights/special-episode-davos-highlights-2026,2026-01-30
McKinsey,2026-01-28,McKinsey 크로스워드: 분기별 보고서 |265호,The McKinsey Crossword: Quarterly report | No. 265,https://www.mckinsey.com/featured-insights/the-mckinsey-crossword/january-2026,2026-01-30
